idAsset,name,initials,institutionName,institutionInitials,city,state,hasSharing,about
652,Automação,LAU,Instituto Federal de Santa Catarina,IFSC,Jaraguá do Sul,SC,False,"O laboratório possui controladores lógicos programáveis, inversores de frequência, soft starters, interfaces homem máquina, motores de indução trifásicos, servomotores, entre outros equipamentos e é utilizado no apoio ao ensino de disciplinas como Automação Básica, Automação Industrial, Acionamentos Elétricos e Automação da Manufatura dos cursos Técnicos, de Tecnologia e Bacharelado do campus.  Além de propiciar realização de pesquisa aplicada na área elétrica."
17274,Automação e Robótica Inteligentes,NAUTEC,Universidade Federal do Rio Grande,FURG,Rio Grande,RS,False,"O objetivo deste grupo é pesquisar e desenvolver novos dispositivos e técnicas computacionais para análise, modelagem, percepção, visualização e controle de robôs e dispositivos, sejam estas constituintes de Sistemas de Automação, bem como agrupadas em Sistemas Robóticos. O trabalho desenvolvido tem como principais aplicações as industrias de óleo, gás e energia, além dos ecosistemas oceânicos e costeiros. O laboratorio conta com um grande quantidade de robôs, instrumentos e sensores."
44361,Automação Industrial,Automação Industrial,Universidade Federal de Itajubá,UNIFEI,Itabira,MG,True,"Laboratório de ensino com equipamentos destinados a experimentos envolvendo a programação e estudo de controladores lógico-programáveis (CLP), comunicação de dados entre CLPs, desenvolvimento e estudo de sistemas de supervisão industrial e interfaces homem-máquina e modelagem de sistemas de automação. Instalado no Prédio II – Sala 2109 conta com área total de 40 𝑚2. Atende as disciplinas de Automação Industrial I, Laboratório de Automação de Sistemas Industriais II e Redes Industriais."
11516,Avaliações Clínicas e Funcionais em Reabilitação,ACL01,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo,HCFMUSP,São Paulo,SP,False,"O Núcleo de Avaliações Clínicas e Funcionais em Reabilitação, sediado no Instituto de Medicina Física e Reabilitação do HCFMUSP (unidade Vila Mariana), reúne uma grande variedade de equipamentos para a coleta e o processamentos de dados clínicos e funcionais, assim como instrumentos e instalações para a pesquisa e o desenvolvimento de novas tecnologias de reabilitação e tecnologia assistiva."
5494,Aviário Escola de Frangos de Corte,AEFC,Universidade Federal de Goiás,UFG,Goiânia,GO,False,"O Aviário Escola é um galpão de frangos de corte com capacidade para 23 mil frangos que tem como objetivo de realizar pesquisas científicas em frangos de corte e proporcionar treinamentos técnico-prático com a finalidade de complementar o processo ensino-aprendizagem, promovendo o aperfeiçoamento técnico de mão-de-obra especializada para trabalhar em granjas de frangos de corte."
4477,Baculovirus,BacLab,Universidade de Brasília,UNB,Brasília,DF,False,"O laboratório é especializado no estudo de vírus e seu uso na biotecnologia. O principal foco é o estudo de vírus patogênicos a insetos visando o controle de pragas e expressão de proteínas recombinantes em células de insetos. Além disso, o laboratório utiliza a técnica de sequenciamento de nova geração para estudo da  diversidade de vírus em insetos, plantas e animais."
26603,BAG Piper - Banco Ativo de Germoplasma de Piper,BAG-Pipers,Embrapa Acre,CPAF-AC,Rio Branco,AC,False,"O BAG-Pipers está localizados nas dependências da Embrapa Acre. Atua na área de Infraestrutura de conservação, caracterização e intercâmbio de recursos genéticos de Piper (aduncum, hispidinervum e affinis) produtoras de óleo essencial constituindo a maior coleção de variedades deste gênero botânico no Brasil."
47694,Banco Ativo de Germoplasma (Cucurbitáceas e plantas cultivadas),BAG IFGoiano - Iporá,Instituto Federal Goiano,IF GOIANO,Iporá,GO,True,"Criado a partir de projeto financiado pelo CNPq, em 40/2014, o laboratório dedica-se à conservação, melhoramento e estudo de recursos genéticos vegetais por meio de seu Banco Ativo de Germoplasma (BAG). Focado na preservação e caracterização da variabilidade genética de culturas com relevância agronômica e socioeconômica, com atuação central nas Cucurbitáceas, com ênfase especial na diversidade de abóboras e na cultura do milho, unindo inovação científica e sustentabilidade agrícola."
26000,Banco Ativo de Germoplasma de Arroz e Feijão,BAG Arroz e Feijão,EMBRAPA ARROZ E FEIJÃO,CNPAF,s. antonio de goias,GO,False,"Infraestrutura de conservação, caracterização e intercâmbio de recursos genéticos de arroz (Oryza spp.) e feijão (Phaseolus spp.), constituindo a maior coleção de variedades destes dois gêneros botânicos no Brasil."
26967,Banco Ativo de Germoplasma de  mandioca e fruteiras,BAGs,Centro Nacional de Pesquisa de Mandioca e Fruticultura Tropical,CNPMF,Cruz das Almas,BA,False,"Infraestrutura de conservação, caracterização e intercâmbio de recursos genéticos de mandioca (Manihot spp.), abacaxi (Ananas spp.), banana (Musa spp), citros (citrus spp.) mamão (Carica spp), maracujá (Passiflora spp.), constituindo a maior coleção de variedades destes destas espécies no Brasil."
